"","suburb","postcode"
"420","MOORABBIN AIRPORT",3194
"421","MORDIALLOC",3195
"422","PARKDALE",3195
"423","PATTERSON LAKES",3197
"424","WATERWAYS",3195
"425","ASHWOOD",3147
"426","BURWOOD",3125
"427","CHADSTONE",3148
"428","CLAYTON",3168
"429","GLEN WAVERLEY",3150
"430","HUGHESDALE",3166
"431","HUNTINGDALE",3166
"432","MONASH UNIVERSITY",3800
"433","MOUNT WAVERLEY",3149
"434","JORDANVILLE",NA
"435","MULGRAVE",3170
"436","NOTTING HILL",3168
"437","OAKLEIGH",3166
"438","OAKLEIGH EAST",3166
"439","OAKLEIGH SOUTH",3167
"440","WHEELERS HILL",3150
"441","BLAIRGOWRIE",3942
"442","CAPEL SOUND",3940
"443","DROMANA",3936
"444","MCCRAE",3938
"445","MORNINGTON",3931
"446","MOUNT ELIZA",3930
"447","MOUNT MARTHA",3934
"448","PORTSEA",3944
"449","ROSEBUD",3939
"450","RYE",3941
"451","SAFETY BEACH",3936
"452","ST ANDREWS BEACH",3941
"453","SORRENTO",3943
"454","TOOTGAROOK",3941
"455","BITTERN",3918
"456","CRIB POINT",3919
"457","HASTINGS",3915
"458","SOMERVILLE",3912
"459","TYABB",3913
"460","ARTHURS SEAT",3936
"461","BALNARRING",3926
"462","BALNARRING BEACH",3926
"463","BAXTER",3911
"464","BONEO",3939
"465","CAPE SCHANCK",3939
"466","FINGAL",3939
"467","FLINDERS",3929
"468","HMAS CERBERUS",3920
"469","MAIN RIDGE",3928
"470","MERRICKS",3916
"471","MERRICKS BEACH",3926
"472","MERRICKS NORTH",3926
"473","MOOROODUC",3933
"474","POINT LEO",3916
"475","RED HILL",3937
"476","RED HILL SOUTH",3937
"477","SHOREHAM",3916
"478","SOMERS",3927
"479","TUERONG",3915
"480","ARMADALE",3143
"481","GLEN IRIS",3146
"482","KOOYONG",3144
"483","MALVERN",3144
"484","MALVERN EAST",3145
"485","PRAHRAN",3181
"486","SOUTH YARRA",3141
"487","TOORAK",3142
"488","WINDSOR",3181
"489","ALBANVALE",3021
"490","ALBION",3020
"491","ARDEER",3022
"492","BROOKLYN",3012
"493","CAIRNLEA",3023
"494","CALDER PARK",3037
"495","DEER PARK",3023
"496","DELAHEY",3037
"497","DERRIMUT",3030
"498","HILLSIDE",3037
"499","KEALBA",3021
"500","KEILOR",3036
"501","KEILOR DOWNS",3038
"502","KEILOR EAST",3033
"503","KEILOR LODGE",3038
"504","KEILOR NORTH",3036
"505","KEILOR PARK",3042
"506","KINGS PARK",3021
"507","ST ALBANS",3021
"508","SUNSHINE",3020
"509","SUNSHINE NORTH",3020
